id,name,email,phone,mobile,category,address,city,country,creation_date,edit_date,creator_id,editor_id
62,Clorox Chile,, +56 2 2426 3614,,Food & Beverages,,San Bernardo,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
63,Coca Cola de Chile,,,,Chemicals,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
64,Codelpa,, +56 222991400,,Food & Beverages,,Concon,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
65,Cola-Cola Embonor,, +56 224604000,,Utilities,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
66,Colbún S.A.,,,,Wine and Spirits,,Pirque,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
67,Concha y Toro,,,,Oil & Energy,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
68,COPEC,, +91 2 225188010,,Cosmetics,,Mumbai,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
69,Cosmética Nacional,,,,,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
70,Cosmoplas S.A.,,,,Proyectos Agua,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
71,Cotaco Ltda,, +56 224413770,,"Glass, Ceramics & Concrete",,Padre Hurtado,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
72,Cristalerias de Chile,,,,"Glass, Ceramics & Concrete",,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
73,Cristalerías Toro S.A.I.C.,,4103051147,,Logistics and Supply Chain,,Odenton,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
74,DB SCHENKER,,56222239662,,,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
75,Derechos Reservados Provaltec,,,,Chemicals,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
76,Detergentes RO,, +56 2 2774 5500,,Proyectos Agua,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
77,DLC S.A.,,,,Legal Services,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
78,DLP,,55 47 3372 9000,,Food & Beverages,,Jaragua Do Sul,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
79,Duas Rodas,,,,Plastics,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
80,DVP,,,,Proyectos,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
81,"Echeverria, Izquiedo Montajes Industriales S.A.",,,,Food Production,,Casablanca,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
82,Eckart Alimentos,, +56 2 3268 7893,,Proyectos Agua,,Puente Alto,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
83,EcoAqua Chile Ltda.,, +56 2 2334 6422,,Proyectos Agua,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
84,Ecopreneur Chile,,,,Proyectos Agua,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
85,Ecosystem,, +56 223854500,,,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
86,EDELPA S.A.,,,,Chemicals,,Quilicura,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
87,Egle Cooper,, +56 9 9079 3532,,Oil & Energy,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
88,Electrogas S.A.,, +56 223380501,,,,Renca,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
89,Embotelladora Andina,,,,Food & Beverages,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
90,Embotelladora Metropolitana S.A.,, +56 224273000,,,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
91,Embotelladoras Chilenas Unidas (ECUSA),,937-498-3011,,,,St. Louis,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
92,Emerson Electric,,,,Chemicals,,Viña Del Mar,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
93,Empresas Demaria S.A.,,,,Oil & Energy,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
94,Empresas Lipigas S.A.,,,,Oil & Energy,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
95,ENAP Refinerias,,,,Utilities,,Andover,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
96,Enel,, +56 223380501,,,,Renca,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
97,Envases Central,,,,Packaging and Containers,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
98,Envases Visopack,,,,Proyectos,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
99,Errazuriz & Asociados,,56 22 328 3776,,Oil & Energy,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
100,Esmax,, +46 87885100,,Consumer Goods,,Stockholm,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
101,Essity,, +56 322209000,,Utilities,,Valparaiso,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
102,ESVAL,, +56 2 3213 6300,,Proveedor,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
103,Eswi,,56 22 680 3000,,Construction,,Macul,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
104,Eurovia (Bitumix),,,,Chemicals,,san bernardo,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
105,Excell Chile (Brillex),, +56 2 2676 3300,,Food Production,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
106,Fiordo Austral,,,,International Trade and Development,,Doral,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
107,Fluid Handling Support Corp,, +1 469-398-7000,,Proyectos,,Irving,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
108,Fluor Corporation,,,,Oil & Energy,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
109,Gasmar,,,,Environmental Services,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
110,GEMAT,,,,Mining & Metals,,Sao Paulo,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
111,Gerdau (AZA),,56 22 499 0900,,Oil & Energy,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
112,GNL Quintero,, +1 316-684-1540,,Electrical/Electronic Manufacturing,,Wichita,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
113,Great Plains Ventures,, +52 5 552686600,,Food Production,,Mexico City,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
114,Grupo Bimbo,,,,Proyectos Agua,,Houston,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
115,Grupo COBRA,,,,Proyectos Agua,,Madrid,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
116,Grupo COBRA,,,,Food & Beverages,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
117,Guallarauco,,,,Chemicals,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
118,Harting,,,,Chemicals,,Palo Alto,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
119,Henkel Chile,,,,Civil Engineering,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
120,Hidrogestion,, +56 2 2570 5700,,Environmental Services,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
121,Hidronor,,,,Civil Engineering,,Quilicura,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
122,Hidrosan Ingeniería S.A.,,,,,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
123,hifima.cl,, +886 2 2344 5488,,International Trade and Development,,Taipei,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
124,HiNet Technology,, +1 888-482-7768,,Computer Software,,Cambridge,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
125,"HubSpot, Inc.",,,,Proyectos Agua,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
126,Hydroionic,,56 2 2487 1800,,,,Quilicura,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
127,ICB S.A,,,,Proyectos,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
128,ICM,,,,Proyectos Agua,,Kadima Zoran,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
129,IDE Technologies,,,,,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
130,impofusion.cl,,,,Chemicals,,Los Cerrillos,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
131,Indura,, +56 32 287 5747,,Food Production,,Viña Del Mar,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
132,Industrias Neuchatel,,,,Mechanical or Industrial Engineering,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
133,Ingeniería de Fluidos Chile,,4149344100,,Renewables & Environment,,Milwaukee,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
134,Ingeteam,,,,Proyectos Agua,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
135,Inima Chile,, + 56 2 2237 3696,,Proyectos Agua,,Macul,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
136,Inquinat Ltda.,,,,Mechanical or Industrial Engineering,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
137,Instalaciones Industriales Gaston,,,,Mining & Metals,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
138,Intecbol Ltda,,,,Cosmetics,,Colina,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
139,Intercos,,,,,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
140,isotecnica.cl,,,,Pharmaceuticals,,Lampa,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
141,ITF-Labomed,,,,Paper & Forest Products,,lampa,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
142,Jeld-Wen Chile,,,,Food Production,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
143,Juan Bas Alimentos,, +56 2 2713 0400,,Building Materials,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
144,Krah,,56229253000,,Cosmetics,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
145,Laboratorio Ballerina,,223901300,,Pharmaceuticals,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
146,Laboratorio Biosano,,223655000,,Pharmaceuticals,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
147,Laboratorio Chile,,800 200 242,,Cosmetics,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
148,Laboratorio Davis,, +56 2 2587 9000,,Cosmetics,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
149,Laboratorio Dukay S.A.,,,,Cosmetics,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
150,Laboratorio Durandin,,228707500,,Pharmaceuticals,,cerrillos,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
151,Laboratorios Prater,,,,Pharmaceuticals,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
152,Laboratorios SAVAL S.A.,,,,Food Production,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
153,Lesaffre Chile,,,,Plastics,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
154,Logipak,,,,Proveedor,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
155,Maestranza Leone,,32 4 361 76 17,,Mining & Metals,,Vaux-Sous-Chèvremont,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
156,Magotteaux,,,,Proyectos,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
157,Magre Montajes y Proyectos,,,,Proyectos,,Pudahuel,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
158,MAQSA,,,,Chemicals,,Conchalí,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
159,Marzullo (Top Color),,,,,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
160,megacenter.cl,, +56 222800480,,Cemento y Áridos,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
161,Melon S.A.,,,,Chemicals,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
162,Messer Chile,, +56 32 292 2870,,Mechanical or Industrial Engineering,,Quilpue,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
163,MG Proveedores Industriales Ltda.,,,,,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
164,micro.cl,,,,Mining & Metals,,Providencia,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
165,Minera Las Cenizas S.A.,,,,Food Production,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
166,Molino Balmaceda,,,,Mining & Metals,,Shenyang,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
167,Multiaceros Chile,,56 32 213 3200,,Mechanical or Industrial Engineering,,Concón,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
168,Nexxo S.A.,,,,Plastics,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
169,Novoplast,,,,Food & Beverages,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
170,Orizon,,,,Proyectos,,Espoo,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
171,Outotec,, +56 224788000,,Chemicals,,Providencia,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
172,Oxiquim S A,,,,Proyectos Agua,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
173,Palmafusión,, +56 2 2738 7998,,Plastics,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
174,Pan Pacific,,,,Chemicals,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
175,Panimex,,,,Civil Engineering,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
176,Pares & Alvarez,,224840500,,Chemicals,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
177,Pinturas Tajamar,,,,Chemicals,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
178,Pinturas Technoquim,, +56 2 2290 8700,,Chemicals,,Pudahuel,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
179,Pinturas Tricolor,,,,Civil Engineering,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
180,Pipesa,,,,Plastics,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
181,Plazit Polygal,,,,Cemento y Áridos,,Las Condes,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
182,Polpaico,,224209221,,Plastics,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
183,Polychem,,,,Proyectos,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
184,Proequipos,, +56 2 2233 5749,,,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
185,profrio.cl,,,,Mechanical or Industrial Engineering,,Mountain View,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
186,ProMinent,,,,,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
187,Provaltec,,,,Printing,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
188,Quilicura Graphic Systems,,,,Chemicals,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
189,Quimica del Sur,, +56 2 2783 4400,,Chemicals,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
190,Quimica Universal,, +56 2 2747 1330,,Environmental Services,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
191,Recycling,,227733366,,Chemicals,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
192,Redoxi,,,,Proyectos Agua,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
193,ReliX Water,, +34 915 45 50 00,,Proyectos Agua,,Madrid,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
194,Sacyr,,,,Building Materials,,Nanterre,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
195,Saint-Gobain,, +56 224760360,,Construction,,Santiago,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
196,Salfacorp,,,,Proyectos,,Pudahuel,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
197,Salfacorp Comercial,,,,Pharmaceuticals,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
198,Santepharma,,225352355,,Environmental Services,,,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
199,Senavin,,,,Packaging and Containers,,quilicura,Chile,2021-01-21 20:20:31.431839,2021-01-21 20:20:31.431988,1,1
